My rank: 1 	 250 	 STARTING INDEX
My rank: 1 	 251 	 0
My rank: 1 	 257 	 6
My rank: 1 	 263 	 6
My rank: 1 	 269 	 6
My rank: 1 	 271 	 2
My rank: 1 	 277 	 6
My rank: 1 	 281 	 4
My rank: 1 	 283 	 2
My rank: 1 	 293 	 10
My rank: 1 	 307 	 14
My rank: 1 	 311 	 4
My rank: 1 	 313 	 2
My rank: 1 	 317 	 4
My rank: 1 	 331 	 14
My rank: 1 	 337 	 6
My rank: 1 	 347 	 10
My rank: 1 	 349 	 2
My rank: 1 	 353 	 4
My rank: 1 	 359 	 6
My rank: 1 	 367 	 8
My rank: 1 	 373 	 6
My rank: 1 	 379 	 6
My rank: 1 	 383 	 4
My rank: 1 	 389 	 6
My rank: 1 	 397 	 8
My rank: 1 	 401 	 4
My rank: 1 	 409 	 8
My rank: 1 	 419 	 10
My rank: 1 	 421 	 2
My rank: 1 	 431 	 10
My rank: 1 	 433 	 2
My rank: 1 	 439 	 6
My rank: 1 	 443 	 4
My rank: 1 	 449 	 6
My rank: 1 	 457 	 8
My rank: 1 	 461 	 4
My rank: 1 	 463 	 2
My rank: 1 	 467 	 4
My rank: 1 	 479 	 12
My rank: 1 	 487 	 8
My rank: 1 	 491 	 4
My rank: 1 	 499 	 LAST PRIME
My rank: 1 	 14 	 LARGEST DIFF
